	I1model_1	I3model_1	offset_model1
173	1.004620469798723	0.9975165276868129	-0.5876107215881352
174	1.0042694378617232	0.9976753761490428	-0.5475656986236568
175	1.0039249138201845	0.9978500326130426	-0.507638692855835
176	1.0035907432486977	0.9980244695214623	-0.4737262725830087
177	1.00323369643862	0.9981630090925294	-0.4284195899963379
178	1.002853773389951	0.9983922251181936	-0.3817234039306632
179	1.0024581722294892	0.9986049744753474	-0.3509502410888663
180	1.0021666973964072	0.9987278158224346	-0.3053073883056632
181	1.0018008747879044	0.9989492376250039	-0.27313518524169833
182	1.0015146259920868	0.9990778971949648	-0.23233509063720703
183	1.0011768070549627	0.9992661661049331	-0.18811464309692383
184	1.0007994477226876	0.9994682670164503	-0.15086650848388672
185	1.000465868778061	0.9996322750348134	-0.10840320587158203
186	1.0001119773112372	0.9998196657224613	-0.0722951889038086
187	0.9998035425081653	1.0000105692993912	-0.03815317153930664
188	0.9995084193094459	1.0001767728735558	0.0022287368774414062
189	0.9991828273274308	1.000380740007504	0.037262916564941406
190	0.9988829711138305	1.0005528715823324	0.07554101943969727
191	0.9985710851540747	1.0007311507134045	0.11611175537109375
192	0.9982310969184635	1.0009129427337589	0.14600658416748047
193	0.9979639773911226	1.0010417120815098	0.1791667938232422
194	0.9976924206623311	1.0011985845435183	0.2132129669189453
195	0.9974032137322129	1.0013532614497256	0.2543191909790039
196	0.9970683529293893	1.001543177026545	0.2886786460876474
197	0.9967728353127632	1.0016901694874476	0.3168983459472665
198	0.9965204078524487	1.0018219028355304	0.35109519958496094
199	0.9962436250863927	1.0019932659658282	0.37737703323364347
200	0.9960105241035084	1.0021112770901524	0.41615915298461914
201	0.99570258232282	1.0023040468895135	0.4458818435668954
202	0.9954482813774485	1.002439842015829	0.47541141510009766
203	0.9951970371708541	1.0025769544756251	0.5043387413024902
204	0.9949549631805914	1.0027063824901166	0.5282468795776367
205	0.9947531198168165	1.0028156113912352	0.5597391128540039
206	0.9944965509684811	1.0029611767408668	0.5913596153259277
207	0.994225783075503	1.003090275421988	0.6117100715637216
208	0.994030842025096	1.0031622896522734	0.6410951614379883
209	0.9938055307958699	1.0033123558912977	0.6612820625305185
210	0.9936296204094631	1.003397214123021	0.6864185333251953
211	0.9934261993740612	1.003516432803036	0.7129702568054199
212	0.9931973383836744	1.0036345537051503	0.7347040176391602
213	0.9930084122063452	1.0037367568277045	0.7589106559753418
214	0.9928129781335547	1.0038484008402047	0.7787919044494629
215	0.9926398286724952	1.003931612405077	0.7971086502075204
216	0.9924869917336329	1.0040192150815521	0.8181772232055664
217	0.9923162087800138	1.0041184542037747	0.8359313011169434
218	0.9921586388262705	1.0041969453236739	0.8546080589294434
219	0.9920157609395535	1.004292561778824	0.8736972808837891
220	0.9918537537843594	1.0043762124548568	0.8872919082641602
221	0.991732864695943	1.0044351631281236	0.9018774032592773
222	0.9916257802342627	1.0045161791371946	0.9163041114807129
223	0.9915025246384059	1.0045796306998547	0.932884693145752
224	0.9913802550873161	1.0046688800431807	0.946070671081543
225	0.9912604506481434	1.004718828937662	0.956296443939209
226	0.9911810740444116	1.0047779991665093	0.9680919647216797
227	0.9910873011870838	1.004834864061765	0.9765806198120117
228	0.9910143338743366	1.0048740547328197	0.9882960319519034
229	0.9909231247334026	1.0049341031839876	0.9967131614685059
230	0.9908533127639094	1.004973074299462	1.0043950080871582
231	0.9907869519511001	1.005006446747643	1.0112285614013672
232	0.9907305501904361	1.005036635639912	1.0163145065307617
233	0.9906841074819173	1.005055627197594	1.0222382545471191
234	0.9906394396539788	1.005087462756714	1.0274052619934082
235	0.9905974341469108	1.00511315075959	1.0301814079284668
236	0.9905722900053561	1.0051254458720777	1.0333991050720215
237	0.990545666796651	1.0051404854293173	1.034985065460205
238	0.9905320593788683	1.0051471818745115	1.036170482635498
239	0.9905219031177698	1.005152890319595	1.0365805625915527
240	0.9905185505655625	1.0051557445421369	1.03615140914917
241	0.9905223961401532	1.0051547565420262	1.0348014831542969
242	0.9905335384460187	1.0051490480969427	1.0328435897827148
243	0.9905502026025785	1.005141473429428	1.0302505493164062
244	0.9905762341844234	1.0051346672064436	1.0263662338256836
245	0.9906085764527762	1.0051180907601431	1.0221996307373047
246	0.9906446656912431	1.005100306758152	1.016838550567627
247	0.9906895307281349	1.005077802311188	1.0102920532226562
248	0.9907431715634518	1.0050479427522891	1.0047507286071777
249	0.9907912905480742	1.005024011194054	0.9978475570678711
250	0.9908513406743756	1.0049960178575865	0.989997386932373
251	0.9909169126513715	1.0049600107424437	0.9794988632202148
252	0.9910013180834142	1.0049118182926036	0.9699063301086435
253	0.9910822723587729	1.004869773399007	0.9612932205200204
254	0.9911597754774476	1.004832997839334	0.950009822845459
255	0.991254632984019	1.0047848053894937	0.9406518936157227
256	0.9913343054011807	1.0047421018291567	0.9257502555847168
257	0.9914550958851203	1.0046738200437337	0.9134445190429688
258	0.9915650398766245	1.004625078704943	0.900383472442627
259	0.9916728145696416	1.0045630542535542	0.8867263793945312
260	0.9917877873894568	1.0045044329136572	0.874600887298584
261	0.9918952662690439	1.004456130686027	0.8576478958129883
262	0.9920311432379163	1.0043755537881163	0.8395485877990723
263	0.992192657370727	1.0043033200022509	0.8271012306213379
264	0.9923093064666458	1.0042542493300899	0.8079986572265625
265	0.9924519871444095	1.0041531439854363	0.793999195098877
266	0.992585990628225	1.0041086839804585	0.7757134437561044
267	0.9927228536418643	1.0040116404140373	0.7552461624145508
268	0.9929069481998359	1.003929746182646	0.737433910369873
269	0.9930658000117761	1.0038523528406473	0.7165064811706534
270	0.9932327373908044	1.003753223496215	0.6982293128967285
271	0.9933988859340194	1.0036838439328912	0.6803359985351562
272	0.9935479759027677	1.003599205256748	0.6585040092468262
273	0.9937252667518479	1.0034976608009343	0.6389360427856445
274	0.993901374347208	1.0034155470139625	0.6170563697814941
275	0.9940694949799567	1.0033056594461034	0.5932397842407227
276	0.9942636471945502	1.0031944545447635	0.5750675201416016
277	0.994424175282594	1.0031167318693945	0.5544066429138184
278	0.9945862810422648	1.00301408963568	0.5326066017150879
279	0.9947759960554075	1.0029220958476022	0.5055232048034668
280	0.9949908552101049	1.0027943144999618	0.4822211265563965
281	0.9951858948649885	1.0026915624884574	0.46263837814331144
282	0.9953564806096543	1.0026014349228105	0.4382295608520508
283	0.9955478718989007	1.0024839726874366	0.41904306411743164
