time	ymintpow	YQ_i_AKNP_chan_11	YQ_i_AKNP_chan_12	YQ_i_AKNP_chan_13	YQ_W_AKNP_11	YQ_AKPM_WT_11	offset_svrk	offset_akpm
60000.30078125	99.77088165283203	2560610048.0	2971276288.0	1496162688.0	98.10357666015625	92.21077728271484	7.425712585449219	-26.619842648506165
60600.30078125	99.77118682861328	2560770048.0	2971530496.0	1496416256.0	98.10900115966797	92.21736145019531	7.4185333251953125	-26.619595289230347
61200.30078125	99.7711181640625	2561001984.0	2971820032.0	1496654144.0	98.11561584472656	92.22246551513672	7.411126613616943	-26.621219515800476
61800.30078125	99.7709732055664	2561218560.0	2972042240.0	1496790784.0	98.12097930908203	92.22868347167969	7.397663593292236	-26.623988151550293
62400.30078125	99.7709732055664	2561574912.0	2972353024.0	1496912640.0	98.1288070678711	92.23372650146484	7.384943008422852	-26.63002908229828
63000.30078125	99.77096557617188	2561931776.0	2972630272.0	1497015232.0	98.13645935058594	92.24108123779297	7.370217323303223	-26.636624336242676
63600.30078125	99.7709732055664	2562291968.0	2972864768.0	1496990592.0	98.14295959472656	92.24827575683594	7.353399753570557	-26.64487659931183
64200.30078125	99.7710952758789	2562724352.0	2973135616.0	1496990144.0	98.15103149414062	92.25437927246094	7.3375115394592285	-26.654651761054993
64800.30078125	99.77102661132812	2563131392.0	2973371904.0	1496960128.0	98.15835571289062	92.26195526123047	7.3141326904296875	-26.664289832115173
65400.30078125	99.77104187011719	2563665664.0	2973628416.0	1496767936.0	98.16650390625	92.26885223388672	7.287777900695801	-26.678860187530518
66000.296875	99.77079010009766	2564313344.0	2973944320.0	1496602624.0	98.17701721191406	92.27650451660156	7.268782138824463	-26.695874333381653
66600.296875	99.77080535888672	2564802816.0	2974172672.0	1496475392.0	98.18495178222656	92.28639221191406	7.238677024841309	-26.708856225013733
67200.296875	99.77118682861328	2565474816.0	2974428672.0	1496126400.0	98.19416809082031	92.2938461303711	7.215668201446533	-26.728814840316772
67800.296875	99.77107238769531	2566030080.0	2974652416.0	1495915392.0	98.20252227783203	92.30252075195312	7.1847124099731445	-26.744496822357178
68400.296875	99.77100372314453	2566736128.0	2974900224.0	1495540864.0	98.21212768554688	92.31037139892578	7.149010181427002	-26.7657607793808
69000.296875	99.77100372314453	2567556352.0	2975165952.0	1495064192.0	98.22288513183594	92.31939697265625	7.117054462432861	-26.791033148765564
69600.296875	99.7708511352539	2568360960.0	2975453440.0	1494684288.0	98.23428344726562	92.32951354980469	7.07866096496582	-26.814791560173035
70200.296875	99.77100372314453	2569267968.0	2975749376.0	1494172224.0	98.24632263183594	92.3402328491211	7.044265270233154	-26.84258222579956
70800.296875	99.77105712890625	2570093568.0	2976019712.0	1493739008.0	98.25759887695312	92.35154724121094	7.009891510009766	-26.867586374282837
71400.296875	99.77106475830078	2570915328.0	2976222720.0	1493096576.0	98.26679992675781	92.36214447021484	6.967286586761475	-26.89499855041504
72000.296875	99.77104187011719	2571854336.0	2976434688.0	1492339904.0	98.277099609375	92.37078857421875	6.9282426834106445	-26.926720142364502
72600.296875	99.77091979980469	2572772352.0	2976668416.0	1491705536.0	98.28816986083984	92.3804702758789	6.883405685424805	-26.956531405448914
73200.296875	99.7710952758789	2573753600.0	2976896256.0	1490977984.0	98.29953002929688	92.39088439941406	6.833823204040527	-26.989057660102844
